NO,ctg,syl,Barisal,ben,eng
858,ফোয়ার,ফুয়ার,পোলার,ছেলের,Boy's
859,রাহালঅর,রাখালের,রাখালের,রাখালের,Shepherd's
860,নাই,নাই,নাই,নেই,None
861,কাডা,কাটা,কাডা,কাটা,Cut
862,কাডে,কাটে,কাডে,কাটে,Cuts
863,উলটো,উল্টা,উল্ডা,উল্টো,Opposite
864,সহজে,সহজে,সহজে,সহজে,Easily
865,ধাক্কাত,ধাক্কাত,ধাক্কাত,ধাক্কায়,By push
866,সইজ্জো,সহ্য,শওন,সহ্য,Bear
867,মরতফোয়া,জোয়ান,ব্যাডা,যুবক/ পুরুষ,Young man / Man
868,পাইয়র,পাইছি,পাইছি,পাচ্ছি,Getting
869,হাইওনা,খাইছো,খাইছো,খেয়েছো ,Have eaten
870,হাবাইত,খাওনও,খাওয়াইতে,খাওয়াতে,Feed
871,ফুটবলত,ফুটবলে,ফুডবলে,ফুটবলে,Football
872,হার,কার,ক্যের,কার,Whose
873,ফ্যাকত,ফেখয়,কানদায়,কাদায়,Mud
874,কলজার,কইলজার,কইলজার,কলিজার,Heart
875,নিজেরে,নিজেরে,নিজেরে,নিজেকে,Himself
876,দাঁতত,দাঁতে ,দাঁতে ,দাঁতে,Teeth
877,নিজে,নিজে,নিজে,নিজে,Self
878,ধরিবার,ধরবার,ধরবার,ধরার,Of holding
879,ধরন,জাত,ধরন,ধরন,Kind
880,এডে,ওনো,অহানে,ওখানে,There
881,এদ্দুর,খাইলকু,এতো,এতো,So
882,তেইল্ল্যাছোরা,তেল ছোঁড়া ,তেলাচোরার,তেলাপোকার,Cockroach's
883,তলে,নিচে,নিচে,নিচে,Below
884,হাওনর,খাওয়ার,খাওয়ার,খাওয়ার,Eating
885,হাওন,খাওয়া,খাওয়া,খাওয়া,Food
886,নিজর,নিজের,নিজের,নিজের,Own
887,সামনে,সামনে,সামনে,সামনে,In front
888,রাইক্ষুম,রাখমু,রাখমু,রাখবো,Will keep
889,রাইবো,রাখমু,রাখমু,রাখবে,Will keep
890,লঁই,সারসি,লইয়া,নিয়ে ,Taking
891,লঁই,লগে,লগে,সাথে,With
892,মঅত ,মুরা,মরন,মৃত্যু,Death
893,চ্বাই ছ্বল,ছাগল,ছাগল,বকরী,Goat
894,হাইলি ,কিন্তু,কিন্তু ,কিন্তু,But
895,লেকিন,কিন্তু,কিন্তু ,কিন্তু,But
896,আস়া,হাছা,সত্য,সত্যি ,Truth
897,হুঠা/কুঠা,দালান,দালান,বিল্ডিং ,Building
898,হুস্টার/কুস্টার,বাস ,বাস,বাস ,Bus
899,ফিকাফ,ট্রাক ,ট্রাক,ট্রাক ,Truck
900,সালুন,তরকারি ,সালুন,তরকারি ,Curry
901,শুরকো,শিরা,মৌ,ঝোল ,Gravy
902,হামরা,কোটা,রুম ,রুম ,Room
903,স়েমা,ছেবা,ছাওয়া,ছায়া ,Shadow
904,স়ামা,ছেবা,ছাওয়া,ছায়া ,Shade
905,ত্যাঁ,তাইন,হে,তিনি,He
906,ডোং হাউয়ো,দাঁড় কাক ,দাড় কাউয়া,দাঁড় কাক ,Crow
907,রাতা কুরো,মোরগ ,মোরগ ,মোরগ ,Rooster
908,বাইল্লে,চড়ুই ,চড়ই,চড়ুই ,Sparrow
909,দইয়ল,দোয়েল ,দোয়েল,দোয়েল ,Magpie
910,ফুনগুরোনি,লেজনাচানি ,ল্যাজনাচানি,লেজনাচানি ,Tail-wagger
911,বুলবুলি,বুলবুল ,বুলবুল,বুলবুল ,Bulbul
912,টুনটুনি,টুনটুনি ,টুনটুনি ,টুনটুনি ,Warbler
913,তুতা,টিঁয়া ,টিয়া,টিঁয়া ,Parrot
914,দেইস্সো,ফিঙ্গে ,ফিঙ্গে ,ফিঙ্গে ,Drongo
915,হতুর,পারো,কবুতার,কবুতর ,Pigeon
916,এল্লে ,ওলাখান,এইরহম,এইভাবে ,This way
917,হৈতর,পাায়রা,কবুতার,কবুতর ,Pigeon
918,হঁঅল,ঘুঘু ,ঘুঘু,ঘুঘু ,Dove
919,ডঅক,ডাহুক ,ডাউক,ডাহুক ,Moorhen
920,ডৌগ,ডাহুক ,ডাউক,ডাহুক ,Moorhen
921,বুগা,বক ,বগ,বক ,Heron
922,ফানিহৌরি,পানকৌড়ি ,পানকৌড়ি ,পানকৌড়ি ,Cormorant
923,মৌর,ময়ূর ,ময়ূর,ময়ূর ,Peacock
924,ময়ুর,ময়ূর ,ময়ূর,ময়ূর ,Peacock
925,আইল্লে,কৃষক  ,কৃষক ,কৃষক  ,Farmer
926,জাইল্লে,জেলে ,জেলে ,জেলে ,Fisherman
927,হন,কও,কন,বলেন,Says
928,শরে-শরে ,তারাতাড়ি,তারাহুরা,তারাতাড়ি,Quickly
929,তেঁরে ,এরে,তারে,তাকে,Him
930,ইতেরে ,এরে,তারে,তাকে,To him
931,ফাতাইর্গা,প্রস্থ,প্রস্থ,প্রস্থ,Width
932,গরন,করো,হরেন,করেন,Does
933,আইল্লে,রাখাল,রাখাল,রাখাল,Shepherd
934,আম্মু,আম্মু,মা,আম্মু ,Mother
935,দি ,দিয়া,দিয়া,দিয়ে,By
936,আইয়্যো,আয়,আও,এসো,Come
937,আইয়ন,আওয়াত,আওয়া,আসা,Coming
938,যন ,যাওয়াত,যাওয়া,যাওয়া,Going
939,থাইবো,থাকবো,থাকপে,থাকবে,Will stay
940,মিজি ,মাঝে,মইধ্যে,মধ্যে,Among
941,ত়ুআইন্ন্যে ফেডাইন্ন্যে ,টোখাই,টোহাই,টোকাই,Beggar
942,গজি ,ধান,ধান,ধান,Paddy
943,আজল ,বিয়াক্কল,বলদ,বোকা ,Fool
944,ফালাফালি ,ফাল্লাফাল্লি,লাফালাফি ,লাফালাফি,Jumping
945,লরালরি ,লাড়াচাড়া,লাড়াচাড়া,নাড়াচাড়া,Moving
946,দার,ভাগের,পলাইতেছে,পালাচ্ছে,Escaping
947,ফুতলা ,পুতুল ,পুতুল ,পুতুল,Doll
948,সাতত ,বনিতে,প্রথমে,শুরুতে,Initially
949,হাস়ে,কান্দাত,ধারে,কাছে,Near
950,ফঁওসাই,পৌঁছে,পৌঁছে,পৌঁছে,Reach
951,জুবান-আন,ভাষাটা,ভাষাডা,ভাষাটা,Language
952,আজ্জু,আশা,আশা,আশা,Hope
953,গরিদ্দি,করছি,করছি,করছি,Doing
954,অনরা,আফনারা,আম্মেরা,আপনারা,You all
955,অ়লরে,হারাইয়া,হারাইয়া,হারিয়ে ,Lost
956,যাইতু,যাইতে,যাইতে,যেতে,Go
957,দিবান,দেবেন,দেবেন,দিবেন,Will give
958,আমত্তা ,আবার,আবার,আবার,Again
959,আইজু,এখনও,এহনও,এখনও,Still
960,ইয়ারবাদেঅ,তবুও,হেরপরও,তবুও,Yet
961,আইজু,এখনো,এহনো,এখনো,Still
962,ইয়ুত ,ইকানেই,এহানেই,এখানেই,Right here
963,ফিসদ্দি,পিছনে,পিছোনে,পিছনে,Behind
964,ফুগ,পূর্ব,পূর্ব,পূর্ব,East
965,ফসিম,পশ্চিম,পচ্ছিম,পশ্চিম,West
966,দইন,দক্ষিণ,দহিন,দক্ষিণ,South
967,উতর,উত্তর,উত্তর ,উত্তর,North
968,ফালং,বিছনা,বিছনা,বিছানা,Bed
969,অঁ,অয়,হ,হ্যাঁ ,Yes
970,শুকরিয়ে,ধইন্যবাদ,ধইন্যবাদ,ধন্যবাদ,Thank you
971,ফেব্রুয়ারী,ফেব্রুয়ারী,ফেব্রুয়ারী,ফেব্রুয়ারী,February
972,এন উজ্ঞ,এক,এ্যাক,এক,One
973,সিটাইঙ্গা,চিটাইঙ্গা,চিটাইঙ্গা,চিটাইঙ্গা,Chittagong (dialect)
974,হঁর,তুমার ,তোর,তোমার,Your
975,গরিদ্দি,করছি,হরছি,করছি,Doing
976,যাইরগুই,যাইরাম,যাইতেছি ,যাচ্ছি,Going
977,ঘরত,ঘরে,ঘড়ে,ঘরে,In the house
978,রাহি,রাখিয়া,রাইখ্খা,রেখে,Keeping
979,হোন,কইন ,কওয়া,বলা,Saying
980,হন,কও,কন,বলুন,Say
981,হবুতর,কবুতর,কবুতর,কবুতর,Pigeon
982,আছস,আছস,আছো,আছিস,Are you (informal)
983,যাবি,যাইবে,যাবি,যাবি,Will you go
984,দিবের,দেওয়ার,দেবার,দেওয়ার,To give
985,মেডির,মাটির,মাডির,মাটির,Clay
986,কহন,কোন,কহন,কখন,When
987,দিম,এনডা,আন্ডা,ডিম,Egg
988,বাগানত,বাগানো,গাছের,বাগানে,In the garden
989,দরজাত,দুয়ার,গাছে,দরজায়,At the door
990,পেঁড়াইতে,কুরানিত,মাডিতে,কুড়াতে,Collecting
991,টেবিলর,টেবিলের,টেবিলের,টেবিলের,On the table
992,লন,নেওয়া ,লন,নেওয়া,Taking
993,মার,মা'র,মা'র,মায়ের,Mother’s
994,লনঅর,নেওয়ার,নেওয়ার,নেওয়ার,Taking
995,বেক্কিছু,সবকিছু,কুড়াইতে,সবকিছু,Everything
996,বেক্কিছুর,সবকিছুর,সবকিছুর,সবকিছুর,Of everything
997,দোয়া,দোয়া,লওয়া,দোয়া,Prayer
998,দোয়াত,দোয়ায়,দোয়ায়,দোয়ায়,In prayer
999,পেট,পেটর,পেটর,পেট,Stomach
1000,পেটেত,পেটর,লওয়ার,পেটে,In the stomach
1001,জাগা,জাগা,ভেবাগগুন,জায়গা,Place
1002,জাগার,জেগার,জেগার,জায়গার,Of the place
1003,টিকে,টিকে,টিকে,টিকে,Remain
1004,ইবের,এইটার,প্যাড,এটির,Of this
1005,আবার,আবার,প্যাডে,আবার,Again
1006,জাগাত,জেগার,জায়গা,জায়গায়,In place
1007,ফোনর,ফোনর,জায়গার,ফোনের,Phone’s
1008,অ্যাইয়ে,আইন,টেহে,আসে,Comes
1009,ধইজ্জে,ধরছে,এডির,ধরেছে,Has caught
1010,আইসসিল,আওনের,আওনের,আসার,Coming
1011,উডিবি,উঠবে,উঠবে,উঠবি,Will you get up
1012,মেমান,কুটুম/মেমান ,কুটুম/মেমান ,মেহমান,Guest
1013,পুরষ্কার,ফুরুস্কার,আয়,পুরষ্কার,Prize
1014,বিরক্ত,বিরক্ত,বিরক্ত,বিরক্ত,Annoyed
1015,ইতেল্লা,এর লাগি,আওয়ার,ঐজন্য,Therefore
1016,পাল্লাই,ফাল্লায়,উডবি,পাল্লায়,In scales
1017,ফালিব্যু,ফালবো,মেহোমান,পালবে,Will survive
1018,মিলিয়ে,মিলিয়া,মিলিয়া,মিলে,Together
1019,দোস্তি,বন্ধুত্ব ,বন্ধুত্ব ,দোস্তি,Friendship
1020,দেহাই,দেখাইয়া,এরলইগ্গা,দেখিয়ে,Showing
1021,মিলিমিসি,মিলিয়া মিশিয়া ,মিল্লা,মিলেমিশে,In harmony
1022,অ্যাই,আই,আই,আসি,Come
1023,দেমাগি,দেমাগি,দেহাইয়া,অহংকারী,Arrogant
1024,দেমাগ,দিমাক,আব্বার,অহংকার,Arrogance
1025,দেমাগের,দিমাকের,অহংকারের,অহংকারের,Of arrogance
1026,উডিব্যু,উঠবে,মিল্লাঝিল্লা,উঠবে,Will rise
1027,বৃষ্টিত,ষ্টিতে,আই,ষ্টিতে,On the seat
1028,চিৎকার,চিক্কার,ওডবে,চিৎকার,Scream
1029,বৈদ্য,ডাখতার,ভাঙ্গা,চিকিৎসক,Doctor
1030,কিয়ের,কিতার,চিহন,কিসের,What’s
1031,ফালন,চড়মু,চড়মু,পালন,Observance
1032,গাত,গতরো,এইসব,গায়ে,On the body
1033,আঁত,হাত,গায়ে,হাত,Hand
1034,থাহনের,থাখার,চরমু,থাকার,Of being
1035,আঁতরগান,হাতেরটা,গায়ে,হাতেরটা,The one in hand
1036,ঠ্যাং,ঠেং,হাত,পা,Foot
1037,ঠ্যাংঅরগান,ঠেঙেরটা,থাহার,পায়েরটা,The one on the foot
1038,ঠ্যাংঅর,ঠেঙের,পায়,পায়ের,Foot’s
1039,মিলানি,মিলানি,মিলানো,মিলানো,Matching
1040,চলান্যির,চালানির,হাতেরডা,চালানোর,Driving
1041,হনোব্বগতে,কিসুতেই,পাও,কিছুতেই,In no way
1042,দি,দিলাই,পাওয়েরডা,দিয়ে,By giving
1043,মুড়াই,মুড়াইয়া,পাওয়ের,মুড়িয়ে,Wrapping
1044,বেডির,বেটির,দিয়া,মহিলার,Woman’s
1045,বেডি,বেটি,মোড়াইয়া,মহিলা,Woman
1046,চুপ,চুফ,কও,চুপ,Quiet
1047,সেকেন্ডত,সেকেন্ডে,মাতারির,সেকেন্ডে,In a second
1048,গেলাস,গল্লাস,মাতারি,গ্লাস,Glass
1049,চুরির,ছুরির,কবি,চুরির,Of theft
1050,জরিমানা,জরিমানা,জরিমানা,জরিমানা,Fine
1051,দুক,দুখ,গেলাস,দুঃখ/ব্যাথা,Pain/sorrow
1052,দুকে,কষ্টে,কষ্টে,দুঃখে,In sorrow
1053,ফুলরে,ফুলকে,গেলাসে,ফুলকে,To the flower
1054,হবর,খবর,খবর,খবর,News
1055,ফুলের,ফুলের,জরিপানা,ফুলের,Of flower
1056,রঙ্গত,রঙ্গে,কুত্তার,রঙ্গে,In color
1057,লয়,নেয়,কান্দো,নেয়,Takes
1058,রঙ,রঙ,গাল ,রঙ,Color
1059,পায়চারি,হাটাহাটি ,গালে,পায়চারি,Pacing
1060,কেথা,খাতা,ব্যেহা,কাথা,Quilt
1061,ফিট্টোম,মারমু ,খাতা,মারবো,Will hit
1062,মাঠ,জমিন,জমিন,মাঠ,Field
1063,ফলের,ফলের,কাউয়া,ফলের,Of fruit
1064,হামাবি,রুজি করবে,বোজে,কামাবি,Will earn
1065,আপাতত,এখন,বোজছেন,আপাতত,For now
1066,বন্ধুরে,বন্ধুকে,মারবে,বন্ধুকে,To the friend
1067,ঘরত,ঘরে,ঘরে,ঘরে,In the house
1068,রাহি,রাখিয়া,ফলের,রেখে,Keeping
1069,কিল্লাই,কিতার,কামাবি,কেন,Why
1070,দিনর,দিনের,দিনের,দিনের,Of the day
1071,বন্দেগীত,বন্দেগীতে*,বন্ধুরে,বন্দেগীতে,In worship
1072,আফন,নিজোর,নিজোর,আপন,Own
1073,অনে,আফনি,রাইখ্যা ,আপনি,You (formal)
1074,চিয়ারা,ছেরা,ক্যা,চেহারা,Face
1075,ফরিবু,অইবো,আম্মে,হবে,Will be
1076,আঁরার,মোরারে,থোতমা,আমাদের,Ours
1077,সিটাইঙ্গা,চাটগাঁইয়া,চাটগাঁইয়া,চাটগাঁইয়া,From Chittagong
1078,রসম,সংস্কৃতি,ধারে,সংস্কৃতি,Culture
1079,আজ্জু,ইচ্ছা,দেতে,আশা,Hope
1080,গরিদ্দি,করি,অইবে,করছি,Doing
1081,বই ইবা,বইটি,মোগো,বইটি,The book
1082,দাদ্দে,ফালাই যার,ফালাই যার,পালাচ্ছে,Escaping
1083,আঁরার,মোরারে,মোরারে,আমাদের,Ours
1084,ঐতিজ্জ,ঐতিহ্যগুলোকে,ঐতিহ্যগুলোকে,ঐতিহ্যগুলোকে,Traditions
1085,অ়লরে,হারাই,হরছি,হারিয়ে,Losing
1086,অ়াজি,যাইতে ,বইডা,যেতে,Going
1087,অঞ্জক,উফাদান,পলাইছে,উপাদান,Ingredient
1088,আস়ে,আছইন,আমাগো,আছে,There is
1089,বেক্কিন,শব,ঐতিহ্যগুলারে,সব,All
1090,আঁরার,মোরারে,মোরারে,আমাদের,Ours
1091,আইয়্যেদ্দে,প্রজন্মের,যাইতে,প্রজন্মের,Of the generation
1092,ফঁওসাই,পৌছে,আছে,পৌঁছে,To reach
1093,দিয়া,দেয়ার লাগি,ভেবাগ,দিতে,Will have to
1094,ফরিবু,অইবো,মোগো,হবে,Doing
1095,গরি,করি,দারে,করে,Doing
1096,বেক্কিনত্তুন,সবচেয়ে ,পৌছাইয়া,সবচেয়ে,The most
1097,ডঁর,বড়,দেতে,বড়,Big
1098,অঞ্জক,উফাদান,অইবে,উপাদান,Ingredient
1099,জুবান-আন,ভাষাটা,ভাষাটা,ভাষাটা,The language
1100,ঝর,বৃষ্টি,হরে,বৃষ্টি,Rain
1101,হরই,অবাখ,ভাষাডা,করই,Blackberry
1102,ভাজি,বিরান করা,বিষ্টি,ভাজা,Fried
1103,ইতেরে,এরে,হেরে,তাকে,To him
1104,সাই,দেখে,দেইখ্যা,দেখে,Seeing
1105,গরন,করো,হরেন,করেন,Do
1106,অত্তর,হুদা,হুদা,সাক্ষাৎ,Meet
1107,অইয়্যুম,করমু,করমু,করবো,Will do
1108,উইদ্দে,খাইয়া,খালি,খালি,Empty
1109,সাম্মে,তাড়াতাড়ি,তারাহুরা,তাড়াতাড়ি,Quickly
1110,হায়,নেউক্কা,খাইয়া,খেয়ে,Eat
1111,ফেলো,কাম অর,নেন,নিন,Take (formal)
1112,অক্কল,হক্কল,হগল,সকল,All
1113,সালুনর,কাম অর,কামের,কাজের,Work’s
1114,বঅরফাতা,কাজী,কাজী,কাজী,Kazi (a surname)
1115,তোঁয়ারে,তোমারে,আম্মেরে,তোমাকে,You
1116,চাই,দেখিয়া,দ্যেহে,দেখে,Seeing
1117,লইওম,নিমু,নিমু,নেবো,Take
1118,তার,তার,হের,তার,His
1119,গইত্তাম ,করতাম,করতাম,করতাম ,Used to do
1120,ফোয়া, পুয়া ,পোলা , পুত্র,Son
1121,ঢাকা,ঢাকা,ঢাকা,ঢাকা,Dhaka
1122,মিস্তিরি,মিস্তিরি,ম্যাস্তুরি,মিস্ত্রি ,Mechanic
1123,রঙ ,রঙ ,রং ,রঙ ,Color
1124,মরে ,মরে ,মরে, মরে ,Dying
1125,ডাক্তার ,ডাক্তার ,ডাক্তার ,ডাক্তার,Doctor
1126,হসাই,হসাই,কসাই,কসাই,Butcher
1127,সমস্যার ,সমস্যায়,সমস্যায়,কষ্টে,In hardship
1128,বদ ,বোধ,বোধ,বোধ,Feeling
1129,অসহায়,অসহায়,অসায়,অসহায়,Helpless
1130,খুব ,বাক্কা,মেলা ,খুব,Very
1131,বানাইবার,বনানীর,বানাইন্নার ,বানানোর,Making
1132,ভিডিও ,ভিডিও ,ভিডিও,ভিডিও ,Video
1133,দরকার,দরকার,দরকার,দরকার,Need
1134,গরের,কিতার ,করতেয়াছে,করতেছে,Doing
1135,সম্ভব,ওই ,সম্ভব,সম্ভব?,Possible?
1136,ইবা ,ইগু ,এইয়া,এ কি,What is this
1137,ঘুমোদ্দে ,ঘুম,ঘুমাও,ঘুমাও,Sleep
1138,ঘুম, ঘুমাও,ঘুম,ঘুম,Sleeping
1139,এত,অত,এত্ত,এত,So much
1140,জরুরি,জরুরি,দরকারী,জরুরি ,Urgent
1141,অভ্যাস,অভ্যাস,অভ্যাস,অভ্যাস,Habit
1142,খাইবার,খাওয়ায়,খাওনের ,খাওয়ার ,Eating
1143,চা ,চা ,চা ,চা ,Tea
1144,উঠিয়েরে ,উঠাইয়া,উইঠাই,উঠেই,Getting up
1145,দুইজ্জা ,দুপুরবেলাত,দুফুরে ,দুপুরে,At noon
1146,বাইর,বারইবায়,বাইরাই,বাইরে,Outside
1147,বাইর,বারইবায়,বাইর,বের,Go out
1148,রতিয়াত,রাত্রে,রাইতের কালে,রাতের বেলা,At night
1149,আইসে,আইছিল,আইসেলে,এসেছিল,Came
1150,হইলো,কইছলা,কইসেলে,বলেছিল,Said
1151,ঠিকই, থিক ,হাসইও,ঠিকই,Exactly
1152,ওইদিন,হেদিন ,ওইদিন,সেদিন ,That day
1153,দিয়ুম,চাল্ল ,দিমু,ডাকব,Will call
1154,ফোরালেহা,পরালেখা,পড়ালেহা,পড়াশুনা ,Studying
1155,আসে,হাসে ,ভেটকাই,হাসে,Laughs
1156,এব্বেরেও,এখেবারেও হাসে না,এক্কালেই,একদমই,Completely
1157,রাজশাহী ,রাজশাহীত,রাজশাহী ,রাজশাহী ,Rajshahi
1158,ফোয়ারে,লগে,লগে,সাথে ,With
1159,সিলেট,সিলেট,সিলেট,সিলেট,Sylhet
1160,ঢাকায়,ঢাকাত ,ঢাকায়,ঢাকায়,In Dhaka
1161,শার্ট,শার্ট,শার্ট,শার্ট,Shirt
1162,লাগের,লাগের,লাগছে,লাগছে,Seems
1163,বিদেশ,বিদেশ,বিদেশ,বিদেশ,Abroad
1164,বেয়াদব,বেয়াদপ ,বেদ্দপ ,বেয়াদব ,Rude
1165,বেশি,যে,বেমালা ,খুবই ,Extremely
1166,হাথি,হাটিয়া,হইত্তা,হেটে,Walking
1167,যার গোয় ,যাইরো ,যাইতেয়াছে ,যাচ্ছে,Going
1168,ফুয়া ,ফুয়াগু ,পোলাডা ,ছেলেটি,The boy
1169,দরজাত,দরজার,দুয়ারের ,দরজার,Door’s
1170,সামনে,ধারো,সামনে,সামনে,In front
1171,চাই,চায়,চাই,চাই,Want
1172,লো ,লৌকা,নেন,নিন,Take
1173,পাকায়,টাটকা ,পাকা ,পাকা,Ripe
1174,ফোঁয়াইজ্জা,বন্ধু,বন্ধু,বন্ধু,Friend
1175,হাতি,হাতি,হাতি,হাতি,Elephant
1176,হাতিকে,হাতিকে,হাতিকে,হাতিকে,To the elephant
1177,রাহাল,রাখাল,রাখাল,রাখাল,Shepherd
1178,দইয়ল,দোয়েল,দোয়েল,দোয়েল,Magpie robin
1179,হাছা ,হাছা ,সত্য ,সত্যি ,Really
1180,হয়ডো,কৌকা,কন,বলুন,Say
1181,উঠ,উঠি ,উঠাই ,উঠে ,Get up
1182,উঠ,যাইও,যাও,যাও,Go
1183,স্কুলত ,স্কুল,স্কুলে,স্কুলে ,To school
1184,যাই,যাই,যাই,যাই,Go
1185,হরিয়ার,খাইয়া,কইররা,করে,Feel
1186,লাগে,লাগে,লাগে,লাগে,Shortage
1187,আঁর,বিয়ামি ,অভাপ,অভাব,Saw
1188,আরা,খরাত,করাত,করাত,Bald
1189,তাইল্লাফোরা,মুরা,টাক,টাক,Separate
1190,যুধো ,আলেদা ,আলাদা,আলাদা,Rich
1191,তোয়াঙ্গর,তোয়াঙ্গর,দনি,ধনী ,Sea banana
1192,গারাইঙ কেলা,সাগর কলা,সাগর ক্যালা,সাগর কলা,Affection
1193,নঁনাই ,হুয়াগ,আদর,আদর,Palm
1194,তালোত,তাল,তাল,তাল,Type of
1195,ধরনর,জাতর,দরনের,ধরনের,Known
1196,পরিচিত,ফরিচিত,চেনা,পরিচিত,Shadow
1197,ছামা,ছেবা,ছাওয়া,ছায়া,Knows
1198,জানর,জানো ,জানে,জানের,Knows
1199,জানে,জানো,জানে,জানে,Caste
1200,জাতর,জাতর,জাতির,জাতের,Envy
1201,হিংসা,হিউন্যা মি,রিশ,হিংসা,Sweat
1202,ঘাম,পছিনা,গাম,ঘাম,Progress
1203,উঅধারি ,উন্নতি,উন্নত,উন্নতি,Closed
1204,ভ়ন,বন্ধ ,বন্দ,বন্ধ ,Room
1205,হামরা,কোটা,গর,রুম ,Took
1206,আজুইর লইয়্যে,সারসিন,নেচেন,নিয়েছেন,Bill
1207,বিল ,বিল ,বিল,বিল ,Weaverbird
1208,ফেইরগে,বাবুই ,বাবুই,বাবুই ,Duck
1209,আঁশ,হাঁস ,আশ,হাঁস ,Swan
1210,রাদাআঁশ,রাজহাঁস ,রাজাআশ,রাজহাঁস ,Swan
1211,মিয়েতারা,মাছরাঙ্গা ,মাছরাঙ্গা,মাছরাঙ্গা ,Kingfisher
1212,জংলি কুরো,বনমোরগ ,বুন্যমুরাহ,বনমোরগ ,Junglefowl
1213,গাস়টুরোনি,কাঠঠোকরা,কাকঠোকরা,কাঠঠোকরা,Woodpecker
1214,ন,ন,ন,ন,No
1215,কডে?,কোনানো,কোম্মে,কোথায়?,Where?
1216,ফ্যাক,ফেখ,কানদা,কাদা,Mud
1217,জুবান,ভাষা,ভাষা,ভাষা,Language
1218,বক্ত ,ভক্ত ,ভক্ত,ভক্ত ,Devotee
1219,দিবে,দেওয়ন ,দেওয়া,দেওয়া,Given
1220,বাপের,বাবার,আব্বার,বাবার,Father’s
1221,ঠ্যাংঅর,ঠেঙের,থাহার,পায়ে,Foot
1222,হইস,কইন,কও,বলো,Say
1223,স্কুলত,স্কুলো,স্কুলে,স্কুলে,School
1224,হাছা,হাছা,সত্য,সত্যি ,Really
1225,উঠ ,যাইও ,যাও,যাও ,Go
1226,উঠ ,উঠি,উঠাই,উঠে,Get up
1227,নাস্তা,নাস্তা,নাস্তা,নাস্তা,Breakfast
1228,লাগে,লাগে ,লাগে ,লাগে,Need
1229,গিয়ি ,গেছি,গেছি,গেছি,Went
1230,আরি,হারি ,থোইক্কা ,হেরে ,Lost
1231,গিয়ি ,গেছিলাম,গেলাম,গেছিলাম,Lost
1232,হাইয়ে,খাইছিল?,খাইল্লে?,খেয়েছিল?,Ate?
1233,আম ,আম ওগু ,আমডা,আমটি,Mango
1234,হারী,হারি,হারাইয়া,হারিয়ে ,Lost
1235,ঠিক,ঠিক,ঠিক,ঠিক,Right
1236,গোরো ,করো,করো,করো,Do
1237,বিশ্বাস,বিশ্বাস,বিশ্বাস,বিশ্বাস,Belief
1238,প্রশ্নত,মাত,প্রশ্নের ,প্রশ্নের,Question’s
1239,জবাব,জবাব,উত্তর,জবাব,Answer
1240,ফইজ্জি ,গেছিলাম,পড়ছেলাম ,পড়েছিলাম,Studied
1241,অসুস্থ,অসুস্থ ,অসুস্থ,অসুস্থ,Sick
1242,ওই,ওই,হইয়া,হয়ে,Became
1243,পেলাম,পেলাম,পাইলাম ,পেলাম,Got
1244,গোরো ,করুন,করেন,করুন,Please
1245,অপেক্ষা,উবাউকা,অপেক্ষা,অপেক্ষা ,Wait
1246,কইজ্জুম ,নে,করমু,করবো ,Will wait
1247,গিয়োয়,দাড়াইলা ,খারাইছে,দাঁড়ালেন,Stood
1248,উথি,উঠিয়া,উইঠ্যা,উঠে,Got up
1249,ডোর ,লম্বা ,উচা,লম্বা,Tall
1250,চাই,চাইয়ার,চাই,চাইছি,Wanting
1251,মাফ,মাফ,মাফ,ক্ষমা,Forgiveness
1252,আইসি,আইছি,আইলাম,এলাম,Came
1253,ফিরি,ফিরিয়া,ফিররা,ফিরে,Back
1254,কেক,কেক,কেক,কেক,Cake
1255,লো,যাও,লও ,নাও,Take
1256,ঘুমাইয়েরে,ঘুমাই,ঘুমাইয়া,ঘুমিয়ে,Sleeping
1257,আছিলাম,আচলাম,আল্লাম,ছিলাম,Was
1258,একা,একলা,এল্লাহ,একা,Alone
1259,আইও ,থাকৌকা ,আয়েন ,আসুন,Come
1260,লই,লগে,লগে,সঙ্গে,With
1261,গেলো গোয় ,গেছলা,গেলেহ ,গেছিলেন,Went
1262,রাগী,রাগী,চেইতা,রেগে,Angry
1263,ধোইজ্জ ,ধরক্কা,ধরেন,ধরুন,Suppose
1264,অবাক,অবাক,অবাক,অবাক,Surprised
1265,আইস্সুম,আইতাম,আমু,আসব,Will come
1266,হাইজ্জুম্ম,হারতাম,থোগমু,হারবো,Will lose
1267,টনটন,বেদনা,ব্যথা,ব্যাথা,Pain
1268,লাল,লাল,লাল,লাল,Red
1269,সবুজ ,সবুজ ,সবুজ ,সবুজ ,Green
1270,কালো ,কালো ,কালো ,কালো ,Black
1271,সাদা,সাদা,সাদা,সাদা,White
1272,নীল ,নীল ,নীল ,নীল ,Blue
1273,বেগুনি ,বেগুনি ,বেগুনি ,বেগুনি ,Purple
1274,গোলাপি ,গোলাপি ,গোলাপি ,গোলাপি ,Pink
1275,আকাশী ,আকাশী ,আকাশী ,আকাশী ,Sky blue
1276,ধূসর ,ধূসর ,ধূসর ,ধূসর ,Gray
1277,মেরুন ,মেরুন ,মেরুন ,মেরুন ,Maroon
1278,কমলা,কমলা,কমলা,কমলা,Orange
1279,খয়েরি ,খয়েরি ,খয়েরি ,খয়েরি ,Brown
